Disease_Association,Most_Haploinsufficient_gene,dNdS1,dNdS2,dNdS_diff
Unknown.Dominant,D,0.001,0.0023,0.0013
Unknown.Recessive,C,0,0.0035,0.0035
Unknown.Dominant,D,0.0025,0.0031,0.0006
None.Both,D,0,0.0007,0.0007
Unknown.None,C,0.0012,0.0181,0.0169
Unknown.Both,D,0.0035,0.0456,0.0421
Unknown.Unknown,C,0,0.0685,0.0685
Dominant.Unknown,D,0,0.0073,0.0073
Unknown.Unknown,C,0,0.002,0.002
Unknown.Unknown,D,0.0017,0.0086,0.0069
Unknown.Unknown,D,0.0035,0.0058,0.0023
Unknown.Unknown,D,0.0051,0.0093,0.0042
Unknown.Unknown,D,0,0.0023,0.0023
Unknown.Unknown,D,0.0008,0.0011,0.0003
Unknown.Unknown,C,0,0.0736,0.0736
Unknown.None,D,0.0048,0.007,0.0022
Unknown.Dominant,D,0.0027,0.0096,0.0069
None.Recessive,D,0.0019,0.0028,0.0009
Unknown.None,C,0.0027,0.0056,0.0029
Both.Unknown,C,0.002,0.009,0.007
Recessive.Unknown,C,0.0013,0.0021,0.0008
Dominant.Unknown,C,0,0.0105,0.0105
Unknown.Unknown,C,0.0015,0.002,0.0005
Both.Dominant,NA,0,0.0243,0.0243
Recessive.Recessive,D,0,0.0033,0.0033
None.None,D,0.019,0.0505,0.0315
Unknown.Unknown,C,0,0.0193,0.0193
Both.Unknown,C,0.0051,0.0068,0.0017
Unknown.Unknown,C,0.0019,0.0038,0.0019
Unknown.Recessive,D,0.0026,0.0028,0.0002
Unknown.None,D,0.0008,0.0027,0.0019
Unknown.Unknown,D,0.001,0.0082,0.0072
Unknown.None,NA,0.0017,0.018,0.0163
Unknown.Unknown,C,0,0.0095,0.0095
Unknown.Unknown,C,0,0.0019,0.0019
Unknown.Unknown,NA,0.0035,0.0196,0.0161
Unknown.Unknown,C,0.0019,0.0081,0.0062
Both.Unknown,C,0.002,0.0067,0.0047
Unknown.Dominant,D,0.003,0.0243,0.0213
Unknown.Unknown,C,0.0021,0.0026,0.0005
Unknown.Unknown,NA,0.0033,0.0093,0.006
Recessive.Unknown,C,0.0035,0.004,0.0005
Unknown.Dominant,D,0.0035,0.0096,0.0061
Unknown.Unknown,D,0.0024,0.0034,0.001
None.Unknown,C,0,0.0019,0.0019
Unknown.Unknown,D,0.0022,0.0181,0.0159
Unknown.Unknown,NA,0.0014,0.0035,0.0021
Unknown.Unknown,C,0.0044,0.0134,0.009
Unknown.Unknown,C,0,0.0339,0.0339
Unknown.Unknown,D,0,0.0027,0.0027
Dominant.Recessive,C,0.0003,0.0027,0.0024
Unknown.Unknown,C,0,0.003,0.003
None.Unknown,D,0,0.0038,0.0038
Dominant.Unknown,C,0,0.0036,0.0036
Unknown.Unknown,C,0.0011,0.0014,0.0003
Unknown.Unknown,NA,0.0012,0.005,0.0038
Unknown.Unknown,D,0.0022,0.0038,0.0016
Unknown.Unknown,D,0.0093,0.0451,0.0358
Unknown.Unknown,C,0.001,0.0198,0.0188
Dominant.Unknown,C,0.0021,0.028,0.0259
Unknown.Unknown,C,0.0018,0.0027,0.0009
Unknown.Unknown,D,0.0063,0.0477,0.0414
Unknown.Unknown,C,0.0008,0.0014,0.0006
None.None,C,0.001,0.0019,0.0009
Unknown.Unknown,D,0,0.0011,0.0011
Unknown.Unknown,C,0,0.0014,0.0014
Unknown.Recessive,D,0,0.0022,0.0022
Dominant.Unknown,C,0.0016,0.0049,0.0033
Unknown.Unknown,C,0,0.0011,0.0011
Unknown.Unknown,C,0,0.001,0.001
Dominant.Unknown,D,0.0033,0.0034,9.99999999999998e-05
Unknown.Unknown,C,0.0011,0.0078,0.0067
