Disease_Association,Most_Haploinsufficient_gene,dNdS1,dNdS2,dNdS_diff
Dominant.Unknown,C,0.0004,0.0008,0.0004
None.Unknown,D,0.0073,0.0308,0.0235
Unknown.None,C,0,0.0088,0.0088
Unknown.Unknown,C,0,0.0016,0.0016
Dominant.Dominant,D,0,0.0012,0.0012
Unknown.Unknown,D,0.0029,0.027,0.0241
Recessive.Unknown,NA,0.0075,0.0144,0.0069
Unknown.None,NA,0,0.0095,0.0095
Unknown.Unknown,C,0.0013,0.0018,0.0005
Unknown.Unknown,C,0.0009,0.0026,0.0017
Unknown.Unknown,C,0.0014,0.0068,0.0054
Unknown.None,D,0.0008,0.0021,0.0013
None.Unknown,C,0.0053,0.3332,0.3279
Unknown.Unknown,D,0.0027,0.0122,0.0095
Unknown.Unknown,D,0.0023,0.0024,9.99999999999998e-05
None.None,C,0.0038,0.0102,0.0064
Unknown.Recessive,D,0,0.0011,0.0011
Unknown.Recessive,D,0.0016,0.0028,0.0012
Recessive.Unknown,C,0.0037,0.01,0.0063
None.Unknown,C,0.0069,0.0184,0.0115
Unknown.Unknown,C,0.0011,0.002,0.0009
Unknown.Unknown,D,0.0004,0.0005,0.0001
Unknown.Unknown,C,0,0.0007,0.0007
Unknown.Unknown,C,0.0061,0.0112,0.0051
Unknown.Both,C,0.0009,0.0082,0.0073
Dominant.Recessive,D,0.0009,0.0013,0.0004
None.Unknown,D,0.001,0.0017,0.0007
Unknown.None,C,0.0011,0.0027,0.0016
Unknown.Unknown,D,0,0.002,0.002
None.None,C,0.0029,0.006,0.0031
Both.Both,C,0.0007,0.0016,0.0009
None.Unknown,C,0,0.0016,0.0016
Unknown.Unknown,C,0.0008,0.002,0.0012
None.Recessive,C,0.0006,0.0013,0.0007
Recessive.Recessive,C,0.0036,0.0193,0.0157
Both.Unknown,C,0,0.0188,0.0188
None.Recessive,C,0.0037,0.0105,0.0068
Unknown.Unknown,C,0,0.0006,0.0006
Unknown.Unknown,NA,0,0.0048,0.0048
Unknown.Unknown,C,0.0009,0.0078,0.0069
Unknown.Dominant,D,0,0.0014,0.0014
Unknown.None,C,0,0.0053,0.0053
None.Unknown,D,0.0021,0.0514,0.0493
Unknown.Unknown,C,0.002,0.0282,0.0262
Unknown.Unknown,D,0.0022,0.0082,0.006
Unknown.None,NA,0,0.0021,0.0021
None.None,C,0.0021,0.0068,0.0047
None.None,D,0,0.0015,0.0015
Unknown.Recessive,C,0.0009,0.0036,0.0027
Unknown.Unknown,D,0.0041,0.0251,0.021
Unknown.Unknown,C,0.001,0.004,0.003
Unknown.Unknown,C,0,0.0107,0.0107
None.None,C,0.0022,0.0068,0.0046
Unknown.Unknown,D,0.0014,0.0136,0.0122
Dominant.Unknown,C,0,0.0009,0.0009
Unknown.Unknown,C,0.0267,0.0576,0.0309
Unknown.Unknown,C,0,0.0045,0.0045
Unknown.Unknown,C,0.0032,0.0046,0.0014
Recessive.Recessive,C,0.0006,0.001,0.0004
Unknown.Unknown,D,0,0.0256,0.0256
Unknown.Unknown,C,0.0013,0.0014,0.0001
Recessive.Unknown,D,0.0042,0.0083,0.0041
Dominant.Unknown,C,0.0044,0.028,0.0236
Unknown.Unknown,C,0.0011,0.0012,9.99999999999998e-05
Unknown.Unknown,NA,0.0009,0.005,0.0041
None.None,C,0.0017,0.0102,0.0085
Unknown.Unknown,D,0.0027,0.0051,0.0024
Dominant.Dominant,D,0.0029,0.0761,0.0732
Unknown.Recessive,D,0.0006,0.0022,0.0016
Unknown.None,C,0,0.0049,0.0049
Dominant.Recessive,C,0,0.0008,0.0008
Unknown.Unknown,D,0.001,0.0014,0.0004
Unknown.Unknown,C,0,0.0029,0.0029
Unknown.Unknown,C,0.0012,0.0026,0.0014
Unknown.Recessive,C,0.0019,0.0443,0.0424
Unknown.Both,D,0,0.0177,0.0177
Unknown.Unknown,C,0.0008,0.0023,0.0015
Dominant.Unknown,C,0.0016,0.0148,0.0132
Unknown.Unknown,D,0.004,0.015,0.011
Unknown.None,C,0.0011,0.0064,0.0053
Dominant.Unknown,C,0,0.0004,0.0004
Unknown.Unknown,C,0.0038,0.1128,0.109
Dominant.Unknown,C,0.0017,0.0039,0.0022
Unknown.Unknown,NA,0,0.0067,0.0067
Dominant.Unknown,C,0.0015,0.0029,0.0014
Unknown.Dominant,C,0.0005,0.0017,0.0012
Unknown.Unknown,C,0.0065,0.0143,0.0078
Unknown.Unknown,NA,0.0064,0.0156,0.0092
Unknown.Unknown,D,0,0.02,0.02
