Virus_Association,Most_Haploinsufficient_gene,Introgression,node_type,dNdS
4.4,C,HSS.HSS,redundant.redundant,0.0011.0.0028
4.4,D,HSS.HSS,redundant.redundant,0.0022.0.0223
4.4,D,HSS.HSS,redundant.critical,0.0023.0.0028
4.1,C,HSS.Strict,redundant.intermittent,0.0006.0.0041
4.4,C,HSS.HSS,redundant.redundant,0.003.0.0038
4.2,C,HSS.HSS,redundant.redundant,0.0063.0.0084
2.4,C,HSS.HSS,redundant.redundant,0.0021.0.0054
1.4,C,HSS.HSS,redundant.redundant,0.0009.0.0125
4.4,C,HSS.HSS,redundant.intermittent,0.0005.0.0057
3.3,D,HSS.HSS,critical.intermittent,0.0005.0.0018
4.4,D,HSS.HSS,intermittent.redundant,0.0.002
2.4,C,HSS.HSS,redundant.redundant,0.0018.0.006
4.1,C,HSS.Strict,redundant.redundant,0.0021.0.0039
4.4,C,HSS.HSS,redundant.redundant,0.0042.0.0053
4.1,C,HSS.HSS,redundant.redundant,0.0008.0.0136
3.3,C,HSS.HSS,redundant.redundant,0.0.0035
4.4,C,HSS.HSS,redundant.redundant,0.0025.0.2063
4.2,D,HSS.HSS,redundant.redundant,0.0018.0.0159
4.3,C,HSS.HSS,intermittent.redundant,0.002.0.0134
4.4,C,HSS.HSS,redundant.intermittent,0.0006.0.0031
2.2,NA,HSS.HSS,redundant.redundant,0.0.0008
4.4,C,HSS.HSS,redundant.redundant,0.0005.0.0034
4.4,C,HSS.HSS,redundant.redundant,0.0015.0.0076
4.1,NA,HSS.HSS,intermittent.redundant,0.0.128
4.4,C,HSS.HSS,intermittent.redundant,0.0016.0.062
4.4,C,HSS.HSS,critical.redundant,0.0075.0.0079
4.4,C,HSS.HSS,redundant.redundant,0.0.0025
4.4,C,HSS.HSS,redundant.redundant,0.0016.0.0301
3.3,D,HSS.HSS,intermittent.redundant,0.0.067
4.2,C,HSS.HSS,redundant.intermittent,0.0053.0.0278
4.4,D,HSS.HSS,redundant.redundant,0.0006.0.0029
4.4,C,HSS.HSS,intermittent.redundant,0.0.0013
4.4,C,HSS.HSS,redundant.intermittent,0.0.0042
4.4,C,HSS.HSS,redundant.redundant,0.0023.0.0034
2.4,D,HSS.HSS,redundant.intermittent,0.0.0116
3.4,D,HSS.HSS,redundant.redundant,0.0012.0.0046
3.4,C,HSS.HSS,redundant.intermittent,0.001.0.006
