Family_number,Family_Root,Number_of_members,DNA,RNA,Multi,None,Total_VIP,Num_Critical
1416,LECA,10,0,4,0,6,4,0
1417,LECA,2,0,0,0,2,0,1
1418,LECA,3,0,0,0,3,0,0
142,Chordata,2,0,0,1,1,1,0
1428,Gnathostomata,2,0,0,1,1,1,0
143,Vertebrata,18,2,2,1,13,5,1
1430,LECA,2,0,0,0,2,0,0
1432,Bilateria,2,0,0,0,2,0,0
1437,Opisthokonta,5,0,0,1,4,1,0
144,LECA,26,2,5,1,18,8,1
1441,Tetrapoda,9,1,1,1,6,3,0
1442,LECA,5,0,1,0,4,1,0
1445,LECA,10,2,1,1,6,4,0
1447,Bilateria,3,0,0,1,2,1,0
145,LECA,6,0,1,1,4,2,0
1451,Opisthokonta,4,1,1,0,2,2,0
1452,LECA,3,1,0,0,2,1,0
1454,LECA,3,0,0,0,3,0,0
1457,Opisthokonta,4,0,0,0,4,0,0
1458,LECA,11,0,0,1,10,1,0
1459,LECA,2,1,0,0,1,1,0
146,LECA,14,1,1,1,11,3,0
1460,LECA,2,0,0,0,2,0,0
1461,Tetrapoda,20,1,2,4,13,7,2
1467,LECA,7,0,0,1,6,1,0
1468,Chordata,5,0,0,0,5,0,0
147,Bilateria,5,0,0,0,5,0,0
1471,LECA,5,2,0,1,2,3,0
1472,LECA,11,1,2,0,8,3,0
1473,Bilateria,3,0,0,0,3,0,0
1474,Opisthokonta,10,3,3,2,2,8,1
1477,Bilateria,3,0,0,0,3,0,0
1479,Eutheria,3,0,0,0,3,0,0
148,LECA,6,2,1,0,3,3,0
1480,Vertebrata,2,0,0,0,2,0,0
1485,LECA,4,0,0,0,4,0,0
1488,Vertebrata,4,1,1,0,2,2,0
1489,LECA,8,1,1,0,6,2,0
149,Gnathostomata,2,0,1,0,1,1,0
1492,LECA,2,0,0,0,2,0,0
1493,LECA,2,0,0,0,2,0,0
1494,LECA,9,2,1,0,6,3,1
1496,Amniota,4,0,1,0,3,1,0
1499,Bilateria,3,0,1,0,2,1,0
15,LECA,2,0,0,0,2,0,0
1503,LECA,4,1,0,0,3,1,0
1504,Opisthokonta,2,0,1,0,1,1,0
1505,LECA,3,2,0,1,0,3,0
