Disease_Association,Most_Haploinsufficient_gene,dNdS
Both.Unknown,C,0.0023.0.0034
Unknown.Unknown,D,0.0.0116
Unknown.Recessive,D,0.0012.0.0046
Unknown.None,C,0.001.0.006
Unknown.Unknown,C,0.0.0024
Recessive.Unknown,C,0.0033.0.0081
Dominant.None,C,0.0033.0.0092
Dominant.Unknown,C,0.0018.0.0079
Unknown.Unknown,D,0.0008.0.0053
None.None,C,0.002.0.0053
Unknown.Recessive,D,0.0041.0.0194
Unknown.Dominant,D,0.0008.0.0009
Recessive.Recessive,D,0.005.0.0248
Dominant.Unknown,D,0.0048.0.0097
Unknown.Unknown,C,0.0.0035
Unknown.Unknown,D,0.0006.0.0022
Unknown.None,C,0.0.0102
Recessive.Unknown,C,0.0043.0.013
Dominant.Unknown,C,0.0.0026
Unknown.Unknown,D,0.0034.0.0053
Unknown.Unknown,C,0.0.0054
Unknown.Unknown,D,0.0063.0.0364
None.Unknown,C,0.0009.0.0034
Unknown.Unknown,C,0.0014.0.003
Unknown.Unknown,D,0.0044.0.0118
Dominant.Dominant,C,0.0012.0.0218
Unknown.Unknown,C,0.0118.0.0559
None.Unknown,C,0.003.0.0046
Dominant.Unknown,C,0.0004.0.0008
None.Unknown,D,0.0073.0.0308
Unknown.None,C,0.0.0088
Unknown.Unknown,C,0.0.0016
Dominant.Dominant,D,0.0.0012
Unknown.Unknown,D,0.0029.0.027
Recessive.Unknown,NA,0.0075.0.0144
Unknown.None,NA,0.0.0095
Unknown.Unknown,C,0.0013.0.0018
Unknown.Unknown,C,0.0009.0.0026
Unknown.Unknown,C,0.0014.0.0068
Unknown.None,D,0.0008.0.0021
None.Unknown,C,0.0053.0.3332
Unknown.Unknown,D,0.0027.0.0122
Unknown.Unknown,D,0.0023.0.0024
None.None,C,0.0038.0.0102
Unknown.Recessive,D,0.0.0011
Unknown.Recessive,D,0.0016.0.0028
Recessive.Unknown,C,0.0037.0.01
None.Unknown,C,0.0069.0.0184
Unknown.Unknown,C,0.0011.0.002
Unknown.Unknown,D,0.0004.0.0005
Unknown.Unknown,C,0.0.0007
Unknown.Unknown,C,0.0061.0.0112
Unknown.Both,C,0.0009.0.0082
Dominant.Recessive,D,0.0009.0.0013
None.Unknown,D,0.001.0.0017
Unknown.None,C,0.0011.0.0027
Unknown.Unknown,D,0.0.002
None.None,C,0.0029.0.006
Both.Both,C,0.0007.0.0016
None.Unknown,C,0.0.0016
Unknown.Unknown,C,0.0008.0.002
None.Recessive,C,0.0006.0.0013
Recessive.Recessive,C,0.0036.0.0193
Both.Unknown,C,0.0.0188
None.Recessive,C,0.0037.0.0105
Unknown.Unknown,C,0.0.0006
Unknown.Unknown,NA,0.0.0048
Unknown.Unknown,C,0.0009.0.0078
Unknown.Dominant,D,0.0.0014
Unknown.None,C,0.0.0053
None.Unknown,D,0.0021.0.0514
Unknown.Unknown,C,0.002.0.0282
Unknown.Unknown,D,0.0022.0.0082
Unknown.None,NA,0.0.0021
None.None,C,0.0021.0.0068
None.None,D,0.0.0015
Unknown.Recessive,C,0.0009.0.0036
Unknown.Unknown,D,0.0041.0.0251
Unknown.Unknown,C,0.001.0.004
Unknown.Unknown,C,0.0.0107
None.None,C,0.0022.0.0068
Unknown.Unknown,D,0.0014.0.0136
Dominant.Unknown,C,0.0.0009
Unknown.Unknown,C,0.0267.0.0576
Unknown.Unknown,C,0.0.0045
Unknown.Unknown,C,0.0032.0.0046
Recessive.Recessive,C,0.0006.0.001
Unknown.Unknown,D,0.0.0256
Unknown.Unknown,C,0.0013.0.0014
Recessive.Unknown,D,0.0042.0.0083
Dominant.Unknown,C,0.0044.0.028
Unknown.Unknown,C,0.0011.0.0012
Unknown.Unknown,NA,0.0009.0.005
None.None,C,0.0017.0.0102
Unknown.Unknown,D,0.0027.0.0051
Dominant.Dominant,D,0.0029.0.0761
Unknown.Recessive,D,0.0006.0.0022
Unknown.None,C,0.0.0049
Dominant.Recessive,C,0.0.0008
Unknown.Unknown,D,0.001.0.0014
Unknown.Unknown,C,0.0.0029
Unknown.Unknown,C,0.0012.0.0026
Unknown.Recessive,C,0.0019.0.0443
Unknown.Both,D,0.0.0177
Unknown.Unknown,C,0.0008.0.0023
Dominant.Unknown,C,0.0016.0.0148
Unknown.Unknown,D,0.004.0.015
Unknown.None,C,0.0011.0.0064
Dominant.Unknown,C,0.0.0004
Unknown.Unknown,C,0.0038.0.1128
Dominant.Unknown,C,0.0017.0.0039
Unknown.Unknown,NA,0.0.0067
Dominant.Unknown,C,0.0015.0.0029
Unknown.Dominant,C,0.0005.0.0017
Unknown.Unknown,C,0.0065.0.0143
Unknown.Unknown,NA,0.0064.0.0156
Unknown.Unknown,D,0.0.02
Recessive.Unknown,C,0.0014.0.0033
Unknown.None,C,0.0.0016
None.Unknown,C,0.0021.0.0032
Both.Unknown,C,0.003.0.0034
Unknown.Dominant,D,0.0.0029
Unknown.Unknown,C,0.0012.0.0024
Unknown.Unknown,D,0.0077.0.0082
Recessive.None,C,0.0014.0.0147
Unknown.Unknown,C,0.0025.0.006
Recessive.Recessive,C,0.0029.0.0087
